index,id,pipeline_name,passes,optimizer_params,circuit_generator_params,metadata,metrics,sublayer,timestamp
20,scenario_19.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 94.59764945800998, ""optimizer_steps"": 58, ""optimizer_time"": 91.89326643943787, ""cost_history"": [-60.762672899465656, -63.737790391657, -65.61509142182535, -66.58444705665303, -67.74656284156883, -68.78659515885168, -69.04724670171696, -69.37163937722119, -69.5191711138637, -69.63856370119127, -69.6792055846835, -69.71685014396162, -69.76223020130833, -69.80025775375475, -69.83204577856729, -69.86413546953594, -69.91282318248714, -69.9975647749026, -70.15132881206738, -71.41685089544444, -71.80919237748293, -72.52625368295807, -73.6923485195141, -74.69188522978999, -75.07267383484829, -75.6833681179252, -76.24829327081095, -76.9845211078386, -77.61697636347013, -78.12105082624221, -78.36014366447576, -78.68590226316253, -78.85793804796181, -78.98813650817343, -79.06065402446488, -79.10356906569902, -79.13143133096186, -79.14804551718663, -79.17107232993105, -79.20806620345772, -79.2529863635519, -79.28626587309226, -79.33176445364809, -79.34373442177551, -79.35042551835018, -79.35587755244265, -79.35881718362658, -79.36100526156942, -79.36233502306223, -79.3629294050804, -79.3632194881012, -79.36341235231717, -79.3635945673783, -79.36375042219322, -79.36382737950487, -79.36384598952135, -79.36384821869302, -79.36384864834127], ""n_qubits"": 27, ""depth"": 934, ""layer"": 10, ""statevector_size"": 19683, ""deltas"": null, ""i2i_pen"": 104.0, ""c2b_pen"": -103.0, ""p_90"": 0.24502590099793947}","{""rel_energy_error"": 0.22947719758866994, ""tts"": 349316.0, ""p_opt"": 0.012265962687595156, ""feasibility_ratio"": 0.9126416123431748, ""opt_params"": [0.19494818738073588, 0.20540562985833524, 0.20783147446070688, 0.20409592086807743, 0.19062062751695916, 0.2993485636366158, -0.14025596424389458, 0.14239138949998567, 0.14482916781491775, 0.07882111038659786, 0.08777579145109349, 0.12854849007485214, 0.12650835981710132, 0.12887541993178303, 0.15217515321245217, 0.16878182677881176, 0.7799969432362708, 0.3189198598876719, 0.3183743481467227, 0.38464362257148915], ""invalid_infeasible_states"": 0.0}",10,2025-01-20 15:51:09.304616+00:00
21,scenario_19.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 94.59764945800998, ""optimizer_steps"": 0, ""optimizer_time"": 0.00758814811706543, ""cost_history"": [], ""n_qubits"": 27, ""depth"": 97, ""layer"": 1, ""statevector_size"": 19683, ""deltas"": null, ""i2i_pen"": 104.0, ""c2b_pen"": -103.0, ""p_90"": 0.009729314380124674}","{""rel_energy_error"": 0.8754447831757053, ""tts"": 1239078.0, ""p_opt"": 0.0003604496674977397, ""feasibility_ratio"": 0.2326934050371902, ""opt_params"": [0.1501791084203406, 0.24076031157685032], ""invalid_infeasible_states"": 0.0}",1,2025-01-20 15:51:09.308240+00:00
22,scenario_19.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 94.59764945800998, ""optimizer_steps"": 8, ""optimizer_time"": 0.26971006393432617, ""cost_history"": [-28.542510053235446, -29.618035735638294, -29.804233235781467, -29.83691711742785, -29.89470230043817, -29.964476492513214, -29.967048377594733, -29.967049891399512], ""n_qubits"": 27, ""depth"": 190, ""layer"": 2, ""statevector_size"": 19683, ""deltas"": null, ""i2i_pen"": 104.0, ""c2b_pen"": -103.0, ""p_90"": 0.02167814947228258}","{""rel_energy_error"": 0.7090577680445267, ""tts"": 1075970.0, ""p_opt"": 0.0008129046022279416, ""feasibility_ratio"": 0.3504453240974709, ""opt_params"": [0.19977254361859254, 0.12554882347839483, 0.1856229028669, 0.30445227994124974], ""invalid_infeasible_states"": 0.0}",2,2025-01-20 15:51:09.314611+00:00
23,scenario_19.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 94.59764945800998, ""optimizer_steps"": 17, ""optimizer_time"": 1.2840001583099365, ""cost_history"": [-29.83065154232591, -30.915005648156054, -30.999101846922287, -32.38506967691533, -32.5934926077101, -32.62070365605366, -33.636471487929654, -35.250434966434796, -37.46870237828678, -39.24795114717229, -39.82226666912532, -39.97184199556909, -39.97526597222566, -39.98106508367983, -39.98632394721533, -39.98636459094902, -39.98636655244117], ""n_qubits"": 27, ""depth"": 283, ""layer"": 3, ""statevector_size"": 19683, ""deltas"": null, ""i2i_pen"": 104.0, ""c2b_pen"": -103.0, ""p_90"": 0.028894955011215105}","{""rel_energy_error"": 0.6117828490053984, ""tts"": 1149546.0, ""p_opt"": 0.0011331547033820457, ""feasibility_ratio"": 0.4285341282670943, ""opt_params"": [0.1983369049131384, 0.1846368436180077, 0.11926822534700404, 0.16959687010532104, 0.26761399179350487, 0.3403114099108037], ""invalid_infeasible_states"": 0.0}",3,2025-01-20 15:51:09.320625+00:00
24,scenario_19.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 94.59764945800998, ""optimizer_steps"": 50, ""optimizer_time"": 5.379468202590942, ""cost_history"": [-38.068395893216405, -40.87252463711685, -41.77261953206206, -42.00391250840545, -42.10834001598442, -42.26203408778638, -42.294113913040114, -43.50134836305861, -43.54207481333064, -43.90518189654304, -44.484982321959045, -45.05086302638622, -45.38723946592129, -45.79367863183238, -45.809210303729216, -45.93502438422546, -45.97396803371136, -46.01642627223295, -46.08966435351659, -46.21853669256754, -46.31547626267811, -46.48107267528943, -46.78978990516548, -47.37218204225031, -47.90379681150829, -48.414598634244804, -48.476404021682775, -48.66204112718769, -48.91471806420474, -49.32659216572422, -49.79326779000108, -49.97399390198692, -50.307322485450456, -50.89063104205957, -51.787626060562054, -52.23426328139566, -52.9645779105449, -53.70130361385653, -54.00580444828487, -54.53898668074901, -55.286799496448275, -55.577518717370324, -55.65752337422303, -55.6987275430841, -55.7182986973421, -55.72955766477919, -55.73093485879166, -55.73105262755826, -55.73105823879086, -55.73105876111965], ""n_qubits"": 27, ""depth"": 376, ""layer"": 4, ""statevector_size"": 19683, ""deltas"": null, ""i2i_pen"": 104.0, ""c2b_pen"": -103.0, ""p_90"": 0.1038355266486097}","{""rel_energy_error"": 0.4589217596005934, ""tts"": 322232.0, ""p_opt"": 0.005359626683489954, ""feasibility_ratio"": 0.4136125595441332, ""opt_params"": [0.20539248229250048, 0.18643609071040496, 0.17119899457515234, 0.10436453241620373, 0.13065142865280682, 0.22992924803170617, 1.1806157981115233, 0.38402135697611], ""invalid_infeasible_states"": 0.0}",4,2025-01-20 15:51:09.329331+00:00
25,scenario_19.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 94.59764945800998, ""optimizer_steps"": 24, ""optimizer_time"": 8.794957160949707, ""cost_history"": [-39.83581324416687, -41.566764949590926, -44.28780897488943, -47.37591774158614, -48.17452930592863, -48.44452072453086, -48.670006398531726, -48.675566409804276, -48.68329784530697, -48.75153067182188, -51.01936816250709, -51.843278999263894, -52.020671031801854, -52.07533099464699, -52.09884884184508, -52.113738265711476, -52.115965818057184, -52.11603516347885, -52.11606108950047, -52.11608683039036, -52.11612399725526, -52.11614474525629, -52.11614869786239, -52.116149032591935], ""n_qubits"": 27, ""depth"": 469, ""layer"": 5, ""statevector_size"": 19683, ""deltas"": null, ""i2i_pen"": 104.0, ""c2b_pen"": -103.0, ""p_90"": 0.06734730646285342}","{""rel_energy_error"": 0.4940179705573599, ""tts"": 655662.0, ""p_opt"": 0.0032902541461975396, ""feasibility_ratio"": 0.4706974403598786, ""opt_params"": [0.20650351095870478, 0.19574809892577127, 0.21989296461017857, -0.06690814022855456, 0.1626744845319857, 0.13286912910329016, 0.2114200009497993, 0.2453797721149533, 0.5488788779718472, 0.7215173655441974], ""invalid_infeasible_states"": 0.0}",5,2025-01-20 15:51:09.338370+00:00
26,scenario_19.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 94.59764945800998, ""optimizer_steps"": 50, ""optimizer_time"": 17.12477731704712, ""cost_history"": [-48.66870480264562, -50.2532685894679, -50.979172654391185, -51.21523964947235, -51.429794226747035, -51.706511507858494, -52.220833772239, -52.99574639726504, -53.06561882025691, -53.07945777475962, -53.325664648108884, -53.633388526423595, -53.91572830469974, -54.41660074158076, -55.341688512824796, -56.79398804181252, -57.74097880080253, -58.1770995994418, -58.421142473874255, -58.62010921894313, -58.93290589832527, -59.32688183133954, -59.65439384830885, -60.04576410127522, -60.59297624414819, -60.82802042340926, -60.85416984301902, -60.90019562498524, -60.9798965007056, -61.078985843927185, -61.0965332591636, -61.11309924795007, -61.13964561925277, -61.17831928393941, -61.21915980138371, -61.26958375240306, -61.360745576848004, -61.50415050660904, -61.66663346871883, -61.71466256966794, -61.77654000393908, -61.832836584385525, -61.85630533609273, -61.870005651076006, -61.876056993897265, -61.87695159057643, -61.87711690287561, -61.87712803310092, -61.87712898933467, -61.87712906490703], ""n_qubits"": 27, ""depth"": 562, ""layer"": 6, ""statevector_size"": 19683, ""deltas"": null, ""i2i_pen"": 104.0, ""c2b_pen"": -103.0, ""p_90"": 0.14761553899140642}","{""rel_energy_error"": 0.3992511741271311, ""tts"": 295612.0, ""p_opt"": 0.008727351224768174, ""feasibility_ratio"": 0.4885047045565446, ""opt_params"": [0.20724499947941954, 0.1965875743123882, 0.17621685881761423, 0.14631997588575477, 0.12006296291480589, 0.05957953855623074, 0.1116759298221464, 0.183228063294211, 0.2269663448678064, 1.1345132968469893, 0.30747780374519307, 0.34975604036562497], ""invalid_infeasible_states"": 0.0}",6,2025-01-20 15:51:09.351055+00:00
27,scenario_19.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 94.59764945800998, ""optimizer_steps"": 53, ""optimizer_time"": 27.788427352905273, ""cost_history"": [-53.565694519434864, -55.99403363145939, -56.42221109371657, -56.681564822767385, -57.08372589492123, -57.788193274417814, -58.60751427575545, -58.77394491152154, -58.80629747813771, -58.86359377574766, -58.97221484184877, -59.17958629292955, -59.277193726715936, -59.29842144344604, -59.50110554724692, -61.12783883365023, -62.758388874543236, -63.20592273033185, -63.43472840827621, -63.67906150481852, -63.9183194237394, -64.08528644551632, -64.26809779782059, -64.43730390823461, -64.6316990605137, -64.71331362472125, -64.75482800490161, -64.7872757711897, -64.79219800805217, -64.80028148517518, -64.80924054844964, -64.8300451811114, -64.86699004819789, -64.93142769914604, -65.02237347685548, -65.10290883563465, -65.14359683640703, -65.21055593913998, -65.31963278432403, -65.48597455728051, -65.68311997178174, -65.77249053041622, -65.84056283807581, -65.88919228441218, -65.94608799451387, -65.97591191012054, -65.9870688570698, -65.98817654303119, -65.98832338019245, -65.98834817107382, -65.98835398389795, -65.98835479230362, -65.98835486989542], ""n_qubits"": 27, ""depth"": 655, ""layer"": 7, ""statevector_size"": 19683, ""deltas"": null, ""i2i_pen"": 104.0, ""c2b_pen"": -103.0, ""p_90"": 0.165711667614144}","{""rel_energy_error"": 0.35933636048643475, ""tts"": 315055.0, ""p_opt"": 0.009540404064876289, ""feasibility_ratio"": 0.5631676495661455, ""opt_params"": [0.20053263253971493, 0.19184425968094843, 0.19272076783699418, 0.17058085647920376, 0.14287950369044627, 0.11439343803794334, 0.05848370922138013, 0.10507410842891, 0.1649876558296825, 0.19096626590960297, 0.22236834750610748, 1.137164124697228, 0.3206170442530012, 0.3497454022579678], ""invalid_infeasible_states"": 0.0}",7,2025-01-20 15:51:09.363405+00:00
28,scenario_19.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 94.59764945800998, ""optimizer_steps"": 68, ""optimizer_time"": 45.16708946228027, ""cost_history"": [-57.06853266460663, -58.92764341474539, -59.69907710664859, -59.96370705317352, -60.410113789436366, -61.136828203305484, -61.392991687803374, -61.46034974703999, -61.53152249066879, -61.57580578315328, -61.61220082562625, -61.67157392869576, -61.747710404707604, -61.80254083653448, -61.81505173502237, -61.838270773857886, -62.65489728815502, -63.67595201053617, -64.29220476667894, -64.76766340174356, -65.13021989005424, -65.4215457717962, -65.6481725615791, -65.88620146648734, -65.97484199208145, -65.9994801882806, -66.00394329299677, -66.0107727327522, -66.01597650505717, -66.02011886989942, -66.05487847005486, -66.07786452710661, -66.10041305315377, -66.14149377301973, -66.2169675505129, -66.34547280034045, -66.4836463507522, -66.5265441607924, -66.60552385948859, -66.74434708798316, -66.9397894713409, -67.0724315893411, -67.16175682198156, -67.31565201006863, -67.57369815696595, -67.95260805130742, -68.52979440405633, -68.9525322814891, -69.42026504328699, -69.70909318890578, -70.1677892877067, -70.83129366128459, -71.24508170849518, -71.45236954970322, -71.68141354478054, -71.75463226476732, -71.85151713161224, -71.91633793456745, -71.95050129775076, -71.96131244703835, -71.96238932404896, -71.96258616593089, -71.96266061182713, -71.96271405730714, -71.96275388201127, -71.96276199514175, -71.96276344605158, -71.96276357561476], ""n_qubits"": 27, ""depth"": 748, ""layer"": 8, ""statevector_size"": 19683, ""deltas"": null, ""i2i_pen"": 104.0, ""c2b_pen"": -103.0, ""p_90"": 0.24404490969847265}","{""rel_energy_error"": 0.3013323924699034, ""tts"": 252824.0, ""p_opt"": 0.013560539128448158, ""feasibility_ratio"": 0.7675517564985501, ""opt_params"": [0.2512232320000271, 0.2631852465679062, 0.2395400240060696, 0.20940326924221903, 0.1777808249342768, 0.1527630593429335, 0.13155885400172196, 0.07070949519397966, 0.11345305829918842, 0.12183095397222393, 0.1296482897079325, 0.1764050217200367, 0.2270182647473154, 1.1351467547391707, 0.3120185017646656, 0.35252668079276456], ""invalid_infeasible_states"": 0.0}",8,2025-01-20 15:51:09.376618+00:00
29,scenario_19.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 94.59764945800998, ""optimizer_steps"": 60, ""optimizer_time"": 67.65971350669861, ""cost_history"": [-59.080481244339744, -60.2638793329604, -61.084954871206676, -61.73345003023278, -62.47763784714202, -62.883389125214286, -63.12608108471748, -63.24156987805214, -63.41486206593185, -63.603465842355774, -63.79046520024618, -63.81723295504192, -63.84295546865445, -63.85049503792349, -63.86425336614462, -63.97798223001251, -64.18872412110045, -65.7900027834385, -65.80856854412248, -66.52455832512514, -67.741363747457, -68.57635151021732, -69.34395343321184, -69.73107814600327, -70.20715799193596, -70.86803991483201, -71.71949924447094, -72.21395011866511, -72.35176419927316, -72.5412781546848, -72.74990023871992, -72.9133295651805, -73.13996809597165, -73.44025218249726, -73.63305363161295, -73.83184955450956, -74.05210460208573, -74.39997933056755, -74.70644902406598, -74.96837960775991, -75.17781932859663, -75.35806064781251, -75.53829992097664, -75.75747679459347, -75.98673633198307, -76.11453744788501, -76.18929395544347, -76.23507899111192, -76.27204694301457, -76.28318721039525, -76.28892056062358, -76.29135958746963, -76.29227431787267, -76.29261412568789, -76.29266968259458, -76.29270676369113, -76.29273053109526, -76.2927390569465, -76.29274039851579, -76.29274056359121], ""n_qubits"": 27, ""depth"": 841, ""layer"": 9, ""statevector_size"": 19683, ""deltas"": null, ""i2i_pen"": 104.0, ""c2b_pen"": -103.0, ""p_90"": 0.21730794382360247}","{""rel_energy_error"": 0.2592937809359787, ""tts"": 333877.0, ""p_opt"": 0.011555878736871238, ""feasibility_ratio"": 0.8750973579500513, ""opt_params"": [0.22673801420072032, 0.22918100009274758, 0.2262724975149975, 0.20342537062084498, 0.3503400020556074, -0.1788968123794858, 0.1550529202326321, 0.1460284122436933, 0.0786090057313017, 0.11068782471388974, 0.13100053490684352, 0.12826535116988896, 0.14196214206703914, 0.15770735189395865, 0.784455280486924, 0.31975932190657685, 0.32324459904662683, 0.3782859940642376], ""invalid_infeasible_states"": 0.0}",9,2025-01-20 15:51:09.390605+00:00
50,scenario_8.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 23.640375499991933, ""optimizer_steps"": 88, ""optimizer_time"": 23.039801597595215, ""cost_history"": [-51.26867625764824, -52.187879758196985, -53.6618948158466, -55.38765397530413, -57.874448385773725, -59.61011341287805, -59.98150804338002, -60.47101172193359, -60.678771057972725, -61.01233341371385, -61.144289524083426, -61.203590864804326, -61.29663227692371, -61.42193416659963, -61.496499944563865, -61.532244710787126, -61.59795502038208, -61.70675307047401, -61.881432960964204, -62.10421589442088, -62.47631114067844, -63.00097233782432, -63.24884039670285, -63.312179577210145, -63.412929180812334, -63.532402003540724, -63.565362564415985, -63.61693424512691, -63.66349909684757, -63.678886311466826, -63.70150906295485, -63.72620152554413, -63.76137208365681, -63.814966926275005, -63.8947667773842, -63.97500751038127, -64.01896168550387, -64.0715626558519, -64.10230117469925, -64.12308623188092, -64.15055171796288, -64.15824666526035, -64.17275306235003, -64.19835022806706, -64.23792706266545, -64.26579454874457, -64.28617001551726, -64.29584753296804, -64.3097280058853, -64.32558338994855, -64.3367867893183, -64.34626674929453, -64.36007210477247, -64.38024484813936, -64.40872369840459, -64.45113894564902, -64.47928006915963, -64.52165458371233, -64.57986763573713, -64.6521149282514, -64.69703520454601, -64.74747765284599, -64.83033165827095, -64.93519503747486, -64.98958170663731, -65.01096878781527, -65.01757732927996, -65.0232070596727, -65.02648202676512, -65.03157320598228, -65.03861398406355, -65.04398354854509, -65.04889909222099, -65.05297394761482, -65.05610817969968, -65.05768178362364, -65.05831698804438, -65.05859698193119, -65.05869243275073, -65.05871174161099, -65.0587155003437, -65.05871717589152, -65.05871960877766, -65.05872139094747, -65.05872303983456, -65.05872545520964, -65.05872773553955, -65.05872895017849], ""n_qubits"": 8, ""depth"": 331, ""layer"": 10, ""statevector_size"": 256, ""deltas"": null, ""i2i_pen"": 132.0, ""c2b_pen"": -68.0, ""p_90"": 0.9092009764588571}","{""rel_energy_error"": 0.043253986027549686, ""tts"": 1655.0, ""p_opt"": 0.6664166897811796, ""feasibility_ratio"": 0.990916142996769, ""opt_params"": [0.3278150957828446, 0.35696637159680356, 0.39804922044333774, 0.35569800409324337, 0.33303542621676163, 0.16307466851477637, 0.290549265628467, 0.31349798023886294, 0.2505535382820242, 0.09685517046394401, 0.24796794512757073, 0.3722434529071501, 0.3297632387520718, 0.3606928782819708, 0.5692140004096535, 0.9929188775163543, 1.1227697258038445, 0.831545014675587, 2.6403221718651158, 0.885154625045109], ""invalid_infeasible_states"": 0.0}",10,2025-01-20 15:51:47.443844+00:00
51,scenario_8.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 23.640375499991933, ""optimizer_steps"": 0, ""optimizer_time"": 0.0017390251159667969, ""cost_history"": [], ""n_qubits"": 8, ""depth"": 34, ""layer"": 1, ""statevector_size"": 256, ""deltas"": null, ""i2i_pen"": 132.0, ""c2b_pen"": -68.0, ""p_90"": 0.040154873326387494}","{""rel_energy_error"": 1.0918506411825142, ""tts"": 5780.0, ""p_opt"": 0.026799147086830746, ""feasibility_ratio"": 0.4328421137432068, ""opt_params"": [0.23624955798880945, 0.5512830218298235], ""invalid_infeasible_states"": 0.0}",1,2025-01-20 15:51:47.445180+00:00
52,scenario_8.lp,i2i+oneh,"{""name"": ""i2i+oneh"", ""InequalityToIndicatorPass"": {}, ""ExtractOneHotConstraintsPass"": {}, ""CQM2BQMPass"": {}}","{""optimizer"": ""CombinedOptimizer"", ""opt_params"": {""optimizer_name"": ""BFGS"", ""tol"": 0.01, ""optimizer_options"": {""maxiter"": 100}}, ""init_deltas"": [0.5, 0.5], ""interpolate_opt"": {""step_size"": 1, ""start_num_layer"": 1, ""end_num_layer"": 10}}","{""circuit_generator"": ""SimulatorGenerator"", ""generator_params"": {}, ""solver_params"": {}}","{""pipeline_time"": 23.640375499991933, ""optimizer_steps"": 14, ""optimizer_time"": 0.09765243530273438, ""cost_history"": [3.277376970644768, -1.7968101281886741, -3.6465185318491953, -3.691410574366338, -5.347975183357264, -7.855714909276679, -8.855352316606195, -10.203310684288983, -10.92645169088702, -10.938390437995709, -10.954722308883113, -10.957973572635854, -10.958312439243851, -10.958319261793383], ""n_qubits"": 8, ""depth"": 67, ""layer"": 2, ""statevector_size"": 256, ""deltas"": null, ""i2i_pen"": 132.0, ""c2b_pen"": -68.0, ""p_90"": 0.047632659197038026}","{""rel_energy_error"": 0.8388482461493204, ""tts"": 9782.0, ""p_opt"": 0.031188694568710464, ""feasibility_ratio"": 0.5709227378063821, ""opt_params"": [0.32588964514339586, 0.23468138073265643, 0.48411282352801416, 0.6368104711932093], ""invalid_infeasible_states"": 0.0}",2,2025-01-20 15:51:47.446046+00:00
